st,rain-max,rain-avg,rain-sum,press-max,press-min,press-avg,RH-max,RH-avg,RH-min,temp-max,temp-avg,temp-min,wind-max,wind-avg,wind-min,NDVI,runoff,extreme,latitude,longitude,date,shape,loc,scale
3019,32.66533129,3.485660427,104.6509942,1015.524323,1007.650186,1011.581478,96.08889318,88.51400572,80.28178332,36.17310616,32.86361275,20.29479069,33.69748815,23.75376108,20.29479069,0.647537947,7.863667006,119.97314,15.024,101.9299,9/1/2020,-0.087314156,19.17467343,20.16140516
3020,34.08061757,3.587184051,108.4379512,1015.535976,1007.61707,1011.564955,96.46837624,88.73277689,78.44690809,35.83797544,32.56536408,21.41571012,54.69747198,25.51967279,21.41571012,0.542329601,10.98233161,125.2530898,14.983,101.6078,9/1/2020,0.087731065,23.30758307,21.61287286
3021,32.10677232,3.208700539,96.56318372,1015.450913,1007.812745,1011.598422,96.34493208,88.65499948,77.62039158,35.86165585,32.64744351,22.97103603,81.20307105,27.92676162,22.97103603,0.62948759,7.362669345,148.7072457,14.6141,101.4614,9/1/2020,-0.206909989,18.20777023,19.4028345
3022,37.89299818,4.056533378,122.897036,1015.584708,1007.63513,1011.59117,96.73642218,89.10798471,78.77812734,36.2384314,33.07426419,20.09954889,33.7606675,23.45632252,20.09954889,0.661017971,10.42941277,142.2333156,14.7224,102.3778,9/1/2020,-0.05346921,22.82389403,22.99156546
3023,34.67433679,3.596481836,109.2229294,1015.592115,1007.333671,1011.448895,95.99707097,86.83910256,75.08696073,35.60767363,32.11048199,22.12058042,72.44531133,26.91859674,22.12058042,0.533391912,11.53228737,110.4322284,15.6944,102.2578,9/1/2019,0.043940339,21.95737405,20.96612929
3024,35.36336848,3.802118524,115.2298663,1015.595779,1007.409406,1011.50759,97.04474734,89.07472322,77.76825878,35.45791919,32.14511211,21.33565057,58.45579547,25.57313233,21.33565057,0.572364094,9.338642962,103.3039963,15.4368,102.5359,9/1/2020,0.177211614,24.86237925,22.10810164
3025,36.1613817,3.860007429,116.7483613,1015.556052,1007.632599,1011.578294,96.65870745,89.01084297,78.55928995,35.97117263,32.78104162,20.77409413,46.0020217,24.54682557,20.77409413,0.794955052,9.29751458,134.0616037,14.4267,101.8947,9/1/2020,0.036362647,23.70061157,22.43277822
3026,34.46531153,3.665925266,110.9906762,1015.569346,1007.503092,1011.532267,96.53498768,88.58641709,77.83420597,35.62224694,32.30511018,21.51058077,58.22690831,25.72420433,21.51058077,0.586269177,10.7061605,112.4839909,15.2876,101.5235,9/1/2020,0.139097442,24.11782202,21.79794283
3027,35.73113895,3.869697905,117.2565054,1015.596141,1007.409779,1011.509169,97.55569395,89.74036936,78.08335628,35.42077184,32.16415324,21.17624478,57.83130498,25.41404676,21.17624478,0.593311514,8.962808898,104.2254807,15.4631,102.8726,9/1/2020,0.202221919,25.35510874,22.16131653
3028,34.32085302,3.643583096,110.4277302,1015.571003,1007.473582,1011.518762,96.33637446,88.15708007,77.58259266,35.75680783,32.38581232,21.29089375,54.03307439,25.37864807,21.29089375,0.60547598,9.565224556,107.8345209,15.3636,102.0001,9/1/2020,0.093195504,22.96516808,21.38019329
3029,35.86612123,3.878383085,117.4770152,1015.631072,1007.481756,1011.550603,97.7547102,90.06759178,78.34129989,35.74177075,32.52933987,20.7932728,49.07719876,24.71290928,20.7932728,0.634198104,8.968523009,114.5050743,15.2021,102.9283,9/1/2020,0.158638365,24.69473161,21.88140719
3030,35.42670446,3.780669118,114.6210091,1015.605942,1007.341988,1011.48148,96.95980479,88.76976218,77.18821573,35.30720493,31.95400911,21.68551563,65.90604741,26.17481806,21.68551563,0.577670599,11.08916894,92.75086825,15.668,102.5183,9/1/2020,0.180847058,24.78017567,22.14991657
3031,35.44435378,3.801543497,115.1968789,1015.599721,1007.36998,1011.49275,97.05647036,89.00350873,77.57710069,35.34608149,32.02620909,21.50373514,62.94767288,25.89322949,21.50373514,0.594348615,10.46004027,97.03433137,15.5714,102.5652,9/1/2020,0.190063489,25.00068938,22.20025963
3032,34.46226581,3.664858888,110.930299,1015.547399,1007.640396,1011.581146,96.36029268,88.74249783,79.75267549,36.15041513,32.89082116,20.21826519,34.55171123,23.67742936,20.21826519,0.795640626,8.13456911,125.6550949,14.9771,102.2929,9/1/2020,-0.017607847,21.34322449,21.46807857
3101,35.58957918,3.828731558,115.9355451,1015.630533,1007.528605,1011.568607,97.64290065,90.09047951,78.19006351,35.73348352,32.56925073,20.85577571,49.36441059,24.71633159,20.85577571,0.614805918,9.125894597,120.039916,14.942,103.0599,9/1/2020,0.142457088,24.6694107,21.73362626
3102,36.24826806,3.905396544,118.5068659,1015.670045,1007.509473,1011.571917,98.10848024,90.43472411,78.64888776,36.05545367,32.85818386,20.3649075,42.57746045,24.19465838,20.3649075,0.660314557,8.742926787,116.8631769,15.2055,103.0629,9/1/2020,0.116479886,23.67646139,21.8167912
3103,34.45326788,3.557607203,107.4408866,1015.55273,1007.627413,1011.579253,97.20875091,89.53154939,77.0205702,35.53754495,32.5432479,21.55465199,61.10557272,25.72126983,21.55465199,0.563503927,8.428533067,113.0786376,14.9459,103.3431,9/1/2020,0.136996393,23.98150794,21.70364024
3104,35.89775547,3.978472321,120.7254384,1015.891313,1007.388392,1011.619948,98.25739944,91.33252911,79.64495441,36.26460599,32.8806315,19.81976813,27.65806672,22.96844249,19.81976813,0.524138896,9.774086914,153.6234063,14.6346,102.7496,9/1/2020,-0.136671474,20.37962282,21.92067522
3105,36.35443594,3.946425277,119.5063639,1015.682907,1007.515789,1011.585608,97.33841145,89.88653142,78.9506274,36.0350758,32.77247114,20.30747694,37.38445705,23.80539241,20.30747694,0.560559176,9.657517233,137.2712726,14.7253,102.5476,9/1/2020,0.037610504,23.6868803,22.53089917
3106,35.84590901,3.940675989,119.4781689,1015.765951,1007.450249,1011.594417,97.84513405,90.67272012,78.9988988,35.94306435,32.6448802,20.38619581,38.0456664,23.79088095,20.38619581,0.639601839,10.40300814,139.7731826,14.3594,102.8931,9/1/2020,0.017449217,23.1078888,22.2180791
3107,35.65336383,3.888728299,117.8686247,1015.704489,1007.485709,1011.584475,97.69886312,90.41311521,78.62120201,35.79517,32.55084058,20.66113072,43.99707124,24.26275865,20.66113072,0.713589448,10.06770704,132.5009098,14.5358,103.0807,9/1/2020,0.082910753,24.08620433,22.118378
3108,35.77795876,3.922283351,118.901171,1015.730775,1007.465725,1011.58767,97.75411388,90.51842479,78.81331227,35.83987965,32.56957331,20.54456555,41.44352115,24.05825853,20.54456555,0.683680746,10.40805697,135.6606032,14.3814,102.9961,9/1/2020,0.055237093,23.70402706,22.20555493
3109,35.78138189,3.884069472,117.6937646,1015.582168,1007.400939,1011.501587,97.66228023,89.88440964,78.08489051,35.35448309,32.15564319,21.17887959,59.78069391,25.42400403,21.17887959,0.576076762,8.264730134,102.194676,15.5275,103.0043,9/1/2020,0.211599205,25.48187888,22.20355902
3110,35.71854171,3.867862213,117.171117,1015.636472,1007.489982,1011.557385,97.58882574,89.99075318,78.39268356,35.71300001,32.49423769,20.80004858,48.52437596,24.67272435,20.80004858,0.576748525,8.237266691,119.2386534,15.0386,102.8667,9/1/2020,0.142019247,24.71459088,21.91040134
3111,36.77338285,3.9575351,119.9186863,1015.728787,1007.535734,1011.604774,98.55046912,90.95685572,78.92268513,36.49836996,33.38345984,19.95910823,32.96610379,23.31048677,19.95910823,0.619230899,7.411888914,120.248144,15.223,103.3293,9/1/2020,-0.030838148,20.91028444,21.11031652
3112,36.00208126,3.954334403,119.9203914,1015.77531,1007.445296,1011.59711,97.81187608,90.61570906,79.18363168,36.03512494,32.71792442,20.20064322,35.56612401,23.63251936,20.20064322,0.599785099,10.23224853,142.3861348,14.4033,102.6706,9/1/2020,-0.001359373,22.86670791,22.31491189
3113,35.8397954,3.86667558,117.1890398,1015.573292,1007.315383,1011.465561,97.53131962,89.66078855,77.97963716,35.15321103,31.85697338,21.55475584,67.17213938,26.10984645,21.55475584,0.558892584,10.82381362,92.51452276,15.6988,102.9282,9/1/2020,0.20357952,25.40126758,22.42637005
3114,35.87032676,3.900352525,118.2054494,1015.66829,1007.494244,1011.574927,97.38975381,89.94642465,78.80552827,35.88011167,32.62951301,20.50879353,42.03411817,24.13104005,20.50879353,0.582579089,9.093504381,129.7005973,14.8717,102.6471,9/1/2020,0.081661648,24.081202,22.25706668
3115,35.26475705,3.766709088,114.0577379,1015.609466,1007.550504,1011.574351,97.43462492,89.96322165,77.984159,35.63652269,32.50293182,21.05729848,52.87683709,24.98435844,21.05729848,0.556474598,9.469225675,121.2550108,14.7341,103.18,9/1/2020,0.135817431,24.64109589,21.77227326
3116,35.47706184,3.777196885,114.2621143,1015.613619,1007.562237,1011.576636,97.67700648,90.09575243,78.03351357,35.79738718,32.70653828,20.85368088,50.37367248,24.76730559,20.85368088,0.483551465,8.750588666,117.494224,15.0005,103.218,9/1/2020,0.145497032,24.43784047,21.5940536
